Date,Step count
4/25/2016,15116
4/26/2016,10816
4/27/2016,11119
4/28/2016,10589
4/29/2016,11948
4/30/2016,21483
5/1/2016,12495
5/2/2016,10223
5/3/2016,11580
5/4/2016,15442
5/5/2016,15273
5/6/2016,25488
5/7/2016,10634
5/8/2016,10241
5/9/2016,10771
5/10/2016,12845
5/11/2016,10565
5/12/2016,19375
5/13/2016,13280
5/14/2016,24864
5/15/2016,10528
5/16/2016,6812
5/17/2016,10286
5/18/2016,11219
5/19/2016,10228
5/20/2016,16164
5/21/2016,23894
5/22/2016,10602
5/23/2016,10358
5/24/2016,6201
5/25/2016,10174
5/26/2016,11988
5/27/2016,10960
5/28/2016,15513
5/29/2016,10799
5/30/2016,11452
5/31/2016,10311
6/1/2016,10741
6/2/2016,10516
6/3/2016,37149
6/4/2016,10098
6/5/2016,10624
6/6/2016,13567
6/7/2016,18444
6/8/2016,15483
6/9/2016,14759
6/10/2016,12270
6/11/2016,35936
6/12/2016,13769
6/13/2016,18457
6/14/2016,13693
6/15/2016,12178
6/16/2016,23320
6/17/2016,19876
6/18/2016,15082
6/19/2016,12240
6/20/2016,12172
6/21/2016,8170
6/22/2016,12467
6/23/2016,14787
6/24/2016,12453
6/25/2016,17950
6/26/2016,12062
6/27/2016,12279
6/28/2016,12262
6/29/2016,12798
6/30/2016,10872
7/1/2016,15402
7/2/2016,14158
7/3/2016,11546
7/4/2016,11963
7/5/2016,12255
7/6/2016,12153
7/7/2016,5844
7/8/2016,13864
7/9/2016,6532
7/10/2016,18712
7/11/2016,12356
7/12/2016,8962
7/13/2016,7606
7/14/2016,12550
7/15/2016,8515
7/16/2016,15099
7/17/2016,8256
7/18/2016,6210
7/19/2016,6288
7/20/2016,13614
7/21/2016,13942
7/22/2016,5676
7/23/2016,24194
7/24/2016,6706
7/25/2016,4708
7/26/2016,10896
7/27/2016,11889
7/28/2016,9973
7/29/2016,17306
7/30/2016,14004
7/31/2016,6602
8/1/2016,7731
8/2/2016,14585
8/3/2016,16519
8/4/2016,11966
8/5/2016,18353
8/6/2016,16679
8/7/2016,12027
8/8/2016,13669
8/9/2016,12348
8/10/2016,20136
8/11/2016,12230
8/12/2016,21599
8/13/2016,15034
8/14/2016,21860
8/15/2016,12936
8/16/2016,12468
8/17/2016,12099
8/18/2016,13052
8/19/2016,26800
8/20/2016,12291
8/21/2016,12309
8/22/2016,12255
8/23/2016,14945
8/24/2016,13749
8/25/2016,10328
8/26/2016,14403
8/27/2016,14830
8/28/2016,12813
8/29/2016,12712
8/30/2016,12532
8/31/2016,11625
9/1/2016,13124
9/2/2016,13929
9/3/2016,21385
9/4/2016,12115
9/5/2016,13097
9/6/2016,14305
9/7/2016,12406
9/8/2016,12218
9/9/2016,14553
9/10/2016,15479
9/11/2016,12342
9/12/2016,15146
9/13/2016,13067
9/14/2016,17223
9/15/2016,16421
9/16/2016,16260
9/17/2016,21745
9/18/2016,17268
9/19/2016,12211
9/20/2016,16128
9/21/2016,15248
9/22/2016,17176
9/23/2016,13662
9/24/2016,35752
9/25/2016,15263
9/26/2016,12116
9/27/2016,15483
9/28/2016,12102
9/29/2016,23912
9/30/2016,12913
10/1/2016,15026
10/2/2016,31489
10/3/2016,12056
10/4/2016,12487
10/5/2016,15843
10/6/2016,12501
10/7/2016,13397
10/8/2016,15718
10/9/2016,14669
10/10/2016,13447
10/11/2016,12336
10/12/2016,9264
10/13/2016,12993
10/14/2016,15554
10/15/2016,11938
10/16/2016,12765
10/17/2016,13196
10/18/2016,12614
10/19/2016,12194
10/20/2016,10254
10/21/2016,12877
10/22/2016,17091
10/23/2016,7223
10/24/2016,24349
10/25/2016,3889
10/26/2016,20468
10/27/2016,13966
10/28/2016,16704
10/29/2016,11635
10/30/2016,21755
10/31/2016,5825
11/1/2016,14347
11/2/2016,6412
11/3/2016,8806
11/4/2016,15840
11/5/2016,16109
11/6/2016,11350
11/7/2016,12699
11/8/2016,9513
11/9/2016,10312
11/10/2016,12263
11/11/2016,12359
11/12/2016,7597
11/13/2016,2220
11/14/2016,11467
11/15/2016,8412
11/16/2016,9490
11/17/2016,7117
11/18/2016,522
11/19/2016,12928
11/20/2016,10009
11/21/2016,11161
11/22/2016,9249
11/23/2016,7539
11/24/2016,2017
11/25/2016,20148
11/26/2016,25579
11/27/2016,7866
11/28/2016,11345
11/29/2016,10412
11/30/2016,13783
12/1/2016,6298
12/2/2016,9853
12/3/2016,5094
12/4/2016,11560
12/5/2016,9179
12/6/2016,10420
12/7/2016,9359
12/8/2016,8831
12/9/2016,21209
12/10/2016,10435
12/11/2016,14014
12/12/2016,9674
12/13/2016,10089
12/14/2016,12667
12/15/2016,9175
12/16/2016,10035
12/17/2016,15767
12/18/2016,1587
12/19/2016,7526
12/20/2016,10879
12/21/2016,12822
12/22/2016,12600
12/23/2016,14661
12/24/2016,13434
12/25/2016,7051
12/26/2016,10729
12/27/2016,10397
12/28/2016,11086
12/29/2016,11987
12/30/2016,9389
12/31/2016,9894
1/1/2017,21956
1/2/2017,15402
1/3/2017,10855
1/4/2017,10516
1/5/2017,10693
1/6/2017,16179
1/7/2017,9153
1/8/2017,10566
1/9/2017,9191
1/10/2017,10656
1/11/2017,10862
1/12/2017,10761
1/13/2017,9865
1/14/2017,11246
1/15/2017,10685
1/16/2017,15217
1/17/2017,20052
1/18/2017,15334
1/19/2017,15327
1/20/2017,15017
1/21/2017,20662
1/22/2017,15384
1/23/2017,15947
1/24/2017,16325
1/25/2017,12197
1/26/2017,17292
1/27/2017,18150
1/28/2017,16300
1/29/2017,20132
1/30/2017,18768
